title,release,publisher
Chip 'n Dale: Rescue Rangers 2,1994,Capcom
Chubby Cherub,1986,Bandai
Circus Caper,1990,Toho
City Connection,1988,Jaleco
Clash at Demonhead,1990,Vic Tokai
Classic Concentration,1990,GameTek
Cliffhanger,1993,Sony Imagesoft
Clu Clu Land,1985,Nintendo
Cobra Command,1988,Data East
Cobra Triangle,1989,Nintendo
Code Name: Viper,1990,Capcom
Color a Dinosaur,1993,Virgin Interactive
Commando,1986,Capcom
Conan: The Mysteries of Time,1991,Mindscape
Conflict,1990,Vic Tokai
Conquest of the Crystal Palace,1990,Asmik
Contra,1988,Konami
Contra Force,1992,Konami
Cool World,1993,Ocean Software
Cowboy Kid,1992,Romstar
Crackout,1991,Palcom
Crash 'n the Boys: Street Challenge,1992,Technos Japan
Crystalis,1990,SNK
Cyberball,1992,Jaleco
Cybernoid: The Fighting Machine,1989,Acclaim Entertainment
Dance Aerobics,1989,Nintendo
Danny Sullivan's Indy Heat,1992,Tradewest
Darkman,1991,Ocean Software
Darkwing Duck,1992,Capcom
Dash Galaxy in the Alien Asylum,1990,Data East
Day Dreamin' Davey,1992,HAL Laboratory
Days of Thunder,1990,Mindscape
Deadly Towers,1987,Broderbund
Defender II,1988,HAL Laboratory
Defender of the Crown,1989,Ultra Games
Defenders of Dynatron City,1992,JVC
Déjà Vu,1990,Seika
Demon Sword,1990,Taito
Desert Commander,1989,Seika
Destination Earthstar,1990,Acclaim Entertainment
Destiny of an Emperor,1990,Capcom
Devil World,1987,Nintendo
Dick Tracy,1990,Bandai
Die Hard,1992,Activision
Dig Dug II,1989,Bandai
Digger T. Rock: Legend of the Lost City,1990,Milton Bradley Company
Dirty Harry,1990,Mindscape
Donkey Kong,1986,Nintendo
Donkey Kong 3,1986,Nintendo
Donkey Kong Classics,1988,Nintendo
Donkey Kong Jr.,1986,Nintendo
Donkey Kong Jr. Math,1985,Nintendo
Double Dare,1990,GameTek
Double Dragon,1988,Tradewest
Double Dragon II: The Revenge,1990,Acclaim Entertainment
Double Dragon III: The Sacred Stones,1991,Acclaim Entertainment
Double Dribble,1987,Konami
Dr. Chaos,1988,FCI
Dr. Jekyll and Mr. Hyde,1989,Bandai
Dr. Mario,1990,Nintendo
Dragon Fighter,1992,SOFEL
Dragon Power,1988,Bandai
Dragon Spirit,1990,Bandai
Dragon Warrior,1989,Nintendo
Dragon Warrior II,1990,Enix
Dragon Warrior III,1992,Enix
Dragon Warrior IV,1992,Enix
Dragon's Lair,1990,Sony Imagesoft (NA)Elite Systems (EU)
Dropzone,1992,Mindscape
Duck Hunt,1985,Nintendo
Duck Maze,1990,HES Interactive
DuckTales,1989,Capcom
DuckTales 2,1993,Capcom
Dungeon Magic: Sword of the Elements,1990,Taito
Dusty Diamond's All-Star Softball,1990,Broderbund
Dynowarz: Destruction of Spondylus,1989,Bandai
Elevator Action,1987,Taito
Eliminator Boat Duel,1991,Electro Brain
Elite,1991,Imagineer
Evert and Lendl Top Players' Tennis,1990,Asmik
Excitebike,1985,Nintendo
F-1 Sensation,1993,Palcom
F-117A Stealth Fighter,1992,MicroProse
F-15 Strike Eagle,1992,MicroProse
Family Feud,1991,GameTek
Faria: A World of Mystery and Danger,1991,ASCII
Faxanadu,1989,Nintendo
Felix the Cat,1992,Hudson Soft
Ferrari Grand Prix Challenge,1992,Acclaim Entertainment
Fester's Quest,1989,Sunsoft
Final Fantasy,1990,Nintendo
Fire 'n Ice,1993,Tecmo
Fisher-Price: Firehouse Rescue,1992,GameTek
Fisher-Price: I Can Remember,1990,GameTek
Fisher-Price: Perfect Fit,1990,GameTek
Fist of the North Star,1989,Taxan
Flight of the Intruder,1991,Mindscape
The Flintstones: The Rescue of Dino & Hoppy,1991,Taito (NA/EU)Mattel (AU)
The Flintstones: Surprise at Dinosaur Peak,1994,Taito
Flying Dragon: The Secret Scroll,1989,Culture Brain
Flying Warriors,1991,Culture Brain
Formula One: Built to Win,1990,SETA
Frankenstein: The Monster Returns,1991,Bandai
Freedom Force,1988,Sunsoft
Friday the 13th,1989,LJN
Fun House,1991,Hi-Tech Expressions
G.I. Joe,1991,Taxan
G.I. Joe: The Atlantis Factor,1992,Capcom
Galaga,1988,Bandai
Galaxy 5000,1991,Activision
Gargoyle's Quest II,1992,Capcom
Gauntlet II,1990,Mindscape
Gemfire,1992,Koei
Genghis Khan,1990,Koei
George Foreman's KO Boxing,1992,Acclaim Entertainment
Ghostbusters,1988,Activision
Ghostbusters II,1990,Activision
Ghosts 'n Goblins,1986,Capcom
Ghoul School,1992,Electro Brain
Goal!,1989,Jaleco
Goal! Two,1992,Jaleco
Godzilla: Monster of Monsters,1989,Toho
Godzilla 2: War of the Monsters,1992,Toho
Gold Medal Challenge 92,1992,Capcom
Golf,1985,Nintendo
Golf Grand Slam,1991,Atlus
Golgo 13: Top Secret Episode,1988,Vic Tokai
The Goonies II,1987,Konami
Gotcha! The Sport!,1987,LJN
Gradius,1986,Konami
The Great Waldo Search,1992,THQ
Greg Norman's Golf Power,1992,Virgin Interactive
Gremlins 2: The New Batch,1990,Sunsoft
The Guardian Legend,1989,Broderbund (NA)Nintendo (EU)
Guerrilla War,1989,SNK
Gumshoe,1986,Nintendo
Gun Nac,1991,ASCII
Gun.Smoke,1988,Capcom
Gyromite,1985,Nintendo
Gyruss,1989,Ultra Games
Hammerin' Harry,1992,Irem
Harlem Globetrotters,1991,GameTek
Hatris,1992,Bullet-Proof Software
Heavy Barrel,1990,Data East
Heavy Shreddin',1990,Parker Brothers
High Speed,1991,Tradewest
Hogan's Alley,1985,Nintendo
Hollywood Squares,1989,GameTek
Home Alone,1991,THQ
Home Alone 2,1992,THQ
Hook,1992,Sony Imagesoft (NA)Ocean Software (EU)
Hoops,1989,Jaleco
Hudson Hawk,1992,Sony Imagesoft (NA)Ocean Software (EU)
The Hunt for Red October,1991,Hi-Tech Expressions
Hydlide,1989,FCI
Ice Climber,1985,Nintendo
Ice Hockey,1988,Nintendo
Ikari Warriors,1987,SNK
Ikari Warriors II: Victory Road,1988,SNK
Ikari Warriors III: The Rescue,1991,SNK
Image Fight,1990,Irem
The Immortal,1990,Electronic Arts
The Incredible Crash Dummies,1994,LJN
Indiana Jones and the Last Crusade,1991,Taito
Indiana Jones and the Last Crusade,1993,Ubisoft
Indiana Jones and the Temple of Doom,1988,Mindscape
Infiltrator,1990,Mindscape
International Cricket,1992,Mattel
Iron Tank,1988,SNK
Ironsword: Wizards & Warriors II,1989,Acclaim Entertainment
Isolated Warrior,1991,NTVIC
"Ivan ""Ironman"" Stewart's Super Off Road",1990,Tradewest
Jack Nicklaus' Major Championship Golf,1990,Konami
Jackal,1988,Konami
Jackie Chan's Action Kung Fu,1990,Hudson Soft
James Bond Jr.,1992,THQ
Jaws,1987,LJN
Jeopardy!,1988,GameTek
Jeopardy! 25th Silver Anniversary Edition,1990,GameTek
Jeopardy! Junior Edition,1989,GameTek
The Jetsons: Cogswell's Caper!,1992,Taito
Jimmy Connors Pro Tennis Tour,1993,Ubisoft
Joe and Mac,1992,Elite Systems
John Elway's Quarterback,1989,Tradewest
Jordan vs Bird: One on One,1989,Milton Bradley Company
Journey to Silius,1990,Sunsoft
Joust,1988,HAL Laboratory
The Jungle Book,1994,Virgin Interactive
Jurassic Park,1993,Ocean Software
Kabuki Quantum Fighter,1991,HAL Laboratory
Karate Champ,1986,Data East
The Karate Kid,1987,LJN
Karnov,1988,Data East
Kick Master,1992,Taito
Kick Off,1991,Imagineering
Kickle Cubicle,1990,Irem
Kid Icarus,1987,Nintendo
Kid Klown in Night Mayor World,1993,Kemco
Kid Kool,1990,Vic Tokai
Kid Niki: Radical Ninja,1987,Data East
King of Kings,1988,Namco
King's Knight,1989,Square
Kings of the Beach,1990,Ultra Games
King's Quest V,1992,Konami
Kirby's Adventure,1993,Nintendo
Klash Ball,1991,SOFEL
Knight Rider,1989,Acclaim Entertainment
Konami Hyper Soccer,1992,Konami
The Krion Conquest,1991,Vic Tokai
Krusty's Funhouse,1992,Acclaim Entertainment
Kung Fu,1985,Nintendo
Kung Fu Heroes,1989,Culture Brain
Laser Invasion,1991,Ultra Games
Last Action Hero,1993,Sony Imagesoft
The Last Ninja,1991,Jaleco
The Last Starfighter,1990,Mindscape
Lee Trevino's Fighting Golf,1988,SNK
Legacy of the Wizard,1989,Broderbund
Legend of the Ghost Lion,1992,Kemco
The Legend of Kage,1987,Taito
The Legend of Zelda,1987,Nintendo
Legendary Wings,1988,Capcom
Legends of the Diamond,1992,Bandai
The Legend of Prince Valiant,1992,Ocean Software
Lemmings,1992,Sunsoft
L'Empereur,1991,Koei
Lethal Weapon,1993,Ocean Software
Life Force,1988,Konami
The Lion King,1994,Virgin Interactive
Little League Baseball: Championship Series,1990,SNK
The Little Mermaid,1991,Capcom
Little Nemo: The Dream Master,1990,Capcom
Little Ninja Brothers,1990,Culture Brain
Little Samson,1992,Taito
Lode Runner,1987,Broderbund
The Lone Ranger,1991,Konami
Loopz,1990,Mindscape
Low G Man: The Low Gravity Man,1990,Taxan
Lunar Pool,1987,FCI
M.C. Kids,1992,Virgin Interactive (NA)Ocean Software (EU)
M.U.L.E.,1990,Mindscape
M.U.S.C.L.E.,1986,Bandai
Mach Rider,1985,Nintendo
Mad Max,1990,Mindscape
The Mafat Conspiracy: Golgo 13 II,1990,Vic Tokai
Magic Darts,1991,Romstar
Magic Johnson's Fast Break,1990,Tradewest
The Magic of Scheherazade,1989,Culture Brain
Magician,1991,Taxan
Magmax,1988,FCI
Major League Baseball,1988,LJN
Maniac Mansion,1990,Jaleco
Mappy-Land,1989,Taxan
Marble Madness,1989,Milton Bradley Company
Mario Bros.,1986,Nintendo
Mario Is Missing!,1993,Mindscape
Mario's Time Machine,1994,Mindscape
Mechanized Attack,1990,SNK
Mega Man,1987,Capcom
Mega Man 2,1989,Capcom
Mega Man 3,1990,Capcom
Mega Man 4,1992,Capcom
Mega Man 5,1992,Capcom
Mega Man 6,1994,Nintendo
Mendel Palace,1990,Hudson Soft
Metal Gear,1988,Ultra Games
Metal Mech,1991,Jaleco
Metal Storm,1991,Irem
Metroid,1987,Nintendo
Michael Andretti's World GP,1990,American Sammy
Mickey Mousecapade,1988,Capcom
Mickey's Adventures in Numberland,1994[3],Hi-Tech Expressions
Mickey's Safari in Letterland,1993[3],Hi-Tech Expressions
Might and Magic Book One: The Secret of the Inner Sanctum,1992,American Sammy
Mighty Bomb Jack,1987,Tecmo
Mighty Final Fight,1993,Capcom
Mike Tyson's Punch-Out!!,1987,Nintendo
Millipede,1988,HAL Laboratory
Milon's Secret Castle,1988,Hudson Soft
Miracle Piano,1990,Mindscape
Mission: Impossible,1990,Ultra Games
Monopoly,1991,Parker Brothers
Monster in My Pocket,1992,Konami
Monster Party,1989,Bandai
Monster Truck Rally,1991,INTV
Motor City Patrol,1992,Matchbox
Mr. Gimmick!,1993,Sunsoft
Ms. Pac Man,1993,Namco
Muppet Adventure: Chaos at the Carnival,1990,Hi-Tech Expressions
The Mutant Virus: Crisis in a Computer World,1992,American Softworks
Mystery Quest,1989,Taxan
NARC,1990,Acclaim Entertainment
NES Open Tournament Golf,1991,Nintendo
NES Play Action Football,1990,Nintendo
New Ghostbusters II,1990,HAL Laboratory
The New Zealand Story,1991,Taito (NA/EU)Ocean Software (AU)
NFL Football,1989,LJN
Nigel Mansell's World Championship Racing,1993,GameTek
A Nightmare on Elm Street,1989,LJN
Nightshade,1992,Ultra Games
Ninja Crusaders,1990,American Sammy
Ninja Gaiden,1989,Tecmo
Ninja Gaiden II: The Dark Sword of Chaos,1990,Tecmo
Ninja Gaiden III: The Ancient Ship of Doom,1991,Tecmo
Ninja Kid,1986,Bandai
Nintendo World Championships,1990,Nintendo
Nintendo World Cup,1990,Nintendo
Noah's Ark,1992,Konami
Nobunaga's Ambition,1989,Koei
Nobunaga's Ambition II,1991,Koei
North and South,1990,Seika
Operation Wolf,1989,Taito
Orb-3D,1990,Hi-Tech Expressions
Othello,1988,Acclaim Entertainment
Over Horizon,1991,Hot-B
Overlord,1993,Virgin Interactive
P.O.W.: Prisoners of War,1989,SNK
Pac-Man,1993,Namco
Palamedes,1990,Hot-B
Panic Restaurant,1992,Taito
Paperboy,1988,Mindscape
Paperboy 2,1992,Mindscape
Parasol Stars: The Story of Bubble Bobble III,1991,Ocean Software
Parodius Da!,1992,Konami
Peter Pan and the Pirates,1991,THQ
Phantom Fighter,1990,FCI
Pictionary,1990,LJN
Pinball,1985,Nintendo
Pinball Quest,1990,Jaleco
Pinbot,1990,Nintendo
Pipe Dream,1990,Bullet-Proof Software
Pirates!,1991,Ultra Games
Platoon,1988,Sunsoft
Popeye,1986,Nintendo
Power Blade,1991,Taito
Power Blade 2,1992,Taito
Power Punch II,1992,American Softworks
Predator: Soon the Hunt Will Begin,1989,Activision
Prince of Persia,1992,Virgin Interactive
Princess Tomato in the Salad Kingdom,1991,Hudson Soft
Pro Sport Hockey,1993,Jaleco
Pro Wrestling,1987,Nintendo
The Punisher,1990,LJN
Puss 'n Boots: Pero's Great Adventure,1990,Electro Brain
Puzznic,1990,Taito
Q*bert,1989,Ultra Games
Quarth,1990,Konami
Qix,1991,Taito
R.C. Pro-Am,1988,Nintendo
R.C. Pro-Am II,1992,Tradewest
Race America,1992,Absolute Entertainment (NA)Milton Bradley Company (EU)
Racket Attack,1988,Jaleco
Rackets and Rivals,1993,Palcom
Rad Racer,1987,Nintendo
Rad Racer II,1990,Square
Raid on Bungeling Bay,1987,Broderbund
Rainbow Islands,1991,Taito
Rally Bike,1990,Romstar
Rambo,1988,Acclaim Entertainment
Rampage,1988,Data East
Rampart,1992,Jaleco
Remote Control,1990,Hi-Tech Expressions
The Ren & Stimpy Show: Buckaroo$,1993,THQ
Renegade,1988,Taito
Rescue: The Embassy Mission,1990,Seika
Ring King,1987,Data East
River City Ransom,1990,Technos Japan (NA)Infogrames (EU)
Road Fighter,1992,Palcom
RoadBlasters,1990,Mindscape
Prince of Thieves,1991,Virgin Interactive
RoboCop,1989,Data East
RoboCop 2,1991,Data East
RoboCop 3,1992,Ocean Software
Robowarrior,1988,Jaleco
Rock 'n' Ball,1990,NTVIC
Rocket Ranger,1990,Seika
The Rocketeer,1991,Bandai
Rockin' Kats,1991,Atlus
Rodland,1993,Jaleco
Roger Clemens' MVP Baseball,1991,LJN
Rollerball,1990,HAL Laboratory
Rollerblade Racer,1993,Hi-Tech Expressions
RollerGames,1990,Ultra Games
Romance of the Three Kingdoms,1989,Koei
Romance of the Three Kingdoms II,1991,Koei
Roundball: 2 on 2 Challenge,1992,Mindscape
Rush'n Attack,1987,Konami
Rygar,1987,Tecmo
S.C.A.T.: Special Cybernetic Attack Team,1991,Natsume (NA)Imagineering (EU)
Section Z,1987,Capcom
Seicross,1988,FCI
Sesame Street: 1-2-3,1989,Hi-Tech Expressions
Sesame Street: A-B-C,1989,Hi-Tech Expressions
Sesame Street: A-B-C/1-2-3,1991,Hi-Tech Expressions
Sesame Street: Big Bird's Hide & Speak,1990,Hi-Tech Expressions
Sesame Street: Countdown,1992,Hi-Tech Expressions
Shadow of the Ninja,1990,Natsume (NA)Data East (EU)
Shadowgate,1989,Seika
Shatterhand,1991,Jaleco
Shingen the Ruler,1990,Hot-B
Shooting Range,1989,Bandai
Short Order/Eggsplode,1989,Nintendo
Side Pocket,1987,Data East
Silent Service,1989,Ultra Games
Silkworm,1990,American Sammy
Silver Surfer,1990,Virgin Interactive
The Simpsons: Bart vs. the Space Mutants,1991,Acclaim Entertainment
The Simpsons: Bart vs. The World,1991,Acclaim Entertainment
The Simpsons: Bartman Meets Radioactive Man,1992,Acclaim Entertainment
Skate or Die!,1988,Ultra Games
Skate or Die 2,1990,Electronic Arts
Ski or Die,1991,Ultra Games
Sky Kid,1987,Sunsoft
Sky Shark,1989,Taito
Slalom,1987,Nintendo
Smash TV,1991,Acclaim Entertainment
The Smurfs,1994,Infogrames
Snake Rattle n Roll,1990,Nintendo
Snake's Revenge,1990,Ultra Games (NA)Konami (EU)
Snoopy's Silly Sports Spectacular,1990,Seika
Snow Brothers,1991,Capcom
Soccer,1987,Nintendo
Solar Jetman: Hunt for the Golden Warpship,1990,Tradewest
Solomon's Key,1987,Tecmo
Solstice,1990,Sony Imagesoft (NA)Software Creations (EU)
Space Shuttle Project,1991,Absolute Entertainment
Spelunker,1987,Broderbund
Spider-Man: Return of the Sinister Six,1992,LJN
Spot,1990,Virgin Interactive
Spy Hunter,1987,Sunsoft
Spy vs. Spy,1988,Seika
Sqoon,1987,Irem
Stack-Up,1985,Nintendo
Stadium Events,1987,Bandai
Stanley and the Search for Dr. Livingston,1992,Electro Brain
Star Force,1987,Tecmo
Star Soldier,1989,Taxan
Star Trek 25th Anniversary,1992,Ultra Games
The Next Generation,1993,Absolute Entertainment
Star Voyager,1987,Acclaim Entertainment
Star Wars,1991,JVC (NA)LucasArts (EU)
Star Wars: The Empire Strikes Back,1992,JVC
Starship Hector,1990,Hudson Soft
StarTropics,1990,Nintendo
Stealth ATF,1989,Activision
Stinger,1987,Konami
Street Cop,1989,Bandai
Street Fighter 2010: The Final Fight,1990,Capcom
Strider,1989,Capcom
Super C,1990,Konami
Super Cars,1991,Electro Brain
Super Dodge Ball,1988,Sony Imagesoft
Super Glove Ball,1990,Mattel
Super Jeopardy!,1991,GameTek
Super Mario Bros.,1985,Nintendo
Super Mario Bros./Duck Hunt,1988,Nintendo
Super Mario Bros./Duck Hunt/World Class Track Meet,1990,Nintendo
Super Mario Bros./Tetris/Nintendo World Cup,1988,Nintendo
Super Mario Bros. 2,1988,Nintendo
Super Mario Bros. 3,1990,Nintendo
Super Pitfall,1987,Activision[6]
Super Spike V'Ball,1990,Nintendo
Super Spike V'Ball/Nintendo World Cup,1990,Nintendo
Super Spy Hunter,1992,Sunsoft
Super Team Games,1988,Nintendo
Super Turrican,1992,Imagineering
Superman,1988,Seika
Swamp Thing,1992,THQ
Sword Master,1992,"Athena Co., Ltd."
Swords and Serpents,1990,Acclaim Entertainment
Taboo: The Sixth Sense,1989,Tradewest
Tag Team Wrestling,1986,Data East
Tale Spin,1991,Capcom
Target: Renegade,1990,Taito
Tecmo Baseball,1989,Tecmo
Tecmo Bowl,1989,Tecmo
Tecmo Cup Soccer Game,1992,Tecmo
Tecmo NBA Basketball,1992,Tecmo
Tecmo Super Bowl,1991,Tecmo
Tecmo World Cup Soccer,1992,Tecmo
Tecmo World Wrestling,1990,Tecmo
Teenage Mutant Ninja Turtles,1989,Ultra Games
Teenage Mutant Ninja Turtles II: The Arcade Game,1990,Ultra Games
Teenage Mutant Ninja Turtles III: The Manhattan Project,1992,Konami
Teenage Mutant Ninja Turtles: Tournament Fighters,1994,Konami
Tennis,1985,Nintendo
The Terminator,1992,Mindscape
Terminator 2: Judgment Day,1992,Acclaim Entertainment
Terra Cresta,1990,Vic Tokai
Tetris,1989,Nintendo
Tetris 2,1993,Nintendo
The Three Stooges,1989,Activision
Thunder & Lightning,1990,Romstar
Thunderbirds,1990,Activision
Thundercade,1989,American Sammy
Tiger-Heli,1987,Acclaim Entertainment
Time Lord,1990,Milton Bradley Company
Times of Lore,1991,Toho
Tiny Toon Adventures,1991,Konami
Tiny Toon Adventures 2: Trouble in Wackyland,1993,Konami
Tiny Toon Adventures Cartoon Workshop,1992,Konami
To the Earth,1989,Nintendo
Toki,1991,Taito
Tom and Jerry,1991,Hi-Tech Expressions
Tombs & Treasure,1991,Activision
Top Gun,1987,Konami
Top Gun: The Second Mission,1990,Konami
Total Recall (video game),1990,Acclaim Entertainment
Totally Rad,1991,Jaleco
Touchdown Fever,1991,SNK
Town & Country Surf Designs,1988,LJN
Town & Country II: Thrilla's Surfari,1992,Acclaim Entertainment
Toxic Crusaders,1992,Bandai
Track & Field,1987,Konami
Track & Field II,1989,Konami
Treasure Master,1991,American Softworks
Trog,1991,Acclaim Entertainment
Trojan,1987,Capcom
The Trolls in Crazyland,1991,American Softworks
Twin Cobra,1990,American Sammy
Twin Eagle,1989,Romstar
Ufouria: The Saga,1991,Sunsoft
Ultima: Exodus,1989,FCI
Ultima 4: Quest of the Avatar,1990,FCI
Ultima V: Warriors of Destiny,1993,FCI
Ultimate Air Combat,1992,Activision
Ultimate Basketball,1990,American Sammy
The Uncanny X-Men,1988,LJN
Uncharted Waters,1991,Koei
Uninvited,1991,Seika
The Untouchables,1991,Ocean Software
Urban Champion,1986,Nintendo
Vegas Dream,1990,HAL Laboratory
Vice: Project Doom,1991,American Sammy
Videomation,1991,THQ
Volleyball,1987,Nintendo
Wacky Races,1992,Atlus
Wall Street Kid,1990,SOFEL
Wario's Woods,1994,Nintendo
Wayne Gretzky Hockey,1991,THQ
Wayne's World,1993,THQ
Werewolf: The Last Warrior,1990,Data East
Wheel of Fortune,1988,GameTek
Wheel of Fortune Family Edition,1990,GameTek
Wheel of Fortune: Featuring Vanna White,1992,GameTek
Wheel of Fortune Junior Edition,1989,GameTek
Where in Time is Carmen Sandiego?,1991,Konami
Where's Waldo?,1991,THQ
Who Framed Roger Rabbit,1989,LJN
Whomp 'Em,1991,Jaleco
Widget,1992,Atlus
Wild Gunman,1985,Nintendo
Willow,1989,Capcom
"Win, Lose, or Draw",1990,Hi-Tech Expressions
Winter Games,1987,Acclaim Entertainment
Wizardry: Proving Grounds of the Mad Overlord,1990,ASCII
Wizardry II: The Knight of Diamonds,1992,ASCII
Wizards & Warriors,1987,Acclaim Entertainment
Wizards and Warriors III,1992,Acclaim Entertainment
Wolverine,1991,LJN
World Champ,1991,Romstar
World Championship Wrestling,1990,FCI
World Class Track Meet,1988,Nintendo
World Games,1989,Milton Bradley Company
Wrath of the Black Manta,1990,Taito
Wrecking Crew,1985,Nintendo
Wurm: Journey To The Center Of The Earth,1991,Asmik
WWF King of the Ring,1993,LJN
WWF WrestleMania,1988,Acclaim Entertainment
WWF WrestleMania Challenge,1990,LJN
WWF WrestleMania: Steel Cage Challenge,1992,Acclaim Entertainment
Xenophobe,1988,Sunsoft
Xevious,1988,Bandai
Xexyz,1990,Hudson Soft
Yo! Noid,1990,Capcom
Yoshi,1992,Nintendo
Yoshi's Cookie,1993,Nintendo
Young Indiana Jones Chronicles,1992,Jaleco
Zanac,1987,FCI
Zelda II: The Adventure of Link,1988,Nintendo
Zen: Intergalactic Ninja,1993,Konami
Zoda's Revenge: StarTropics II,1994,Nintendo
Zombie Nation,1991,Meldac
