10344	Ace Gambles of Hotchkiss	121 E. Bridge Street	Hotchkiss	CO	81419	(970) 872-3535	38.7988	-107.7205
10347	Al's Ace Hardware	4010 E 29th St	Tucson	AZ	85711	(520) 747-8144	32.1996	-110.9059
10349	Al's Ace Hardware	4722 E Broadway Blvd	Tucson	AZ	85711	(520) 318-0414	32.2216	-110.8916
10351	Al's Ace Hardware	2884 N Campbell Ave	Tucson	AZ	85719	(520) 325-2432	32.259	-110.9428
10353	Lewistown Ace Hardware	815 NE Main St	Lewistown	MT	59457	(406) 538-4000	47.0702	-109.409
10356	Byram Revell Ace Hardware	5726 Terry Rd	Jackson	MS	39272	(601) 371-8429	32.1919	-90.2542
10357	Mr C's Ace Hardware	1201 Precinct Line Rd	Hurst	TX	76053	(817) 282-3428	32.831	-97.186
10358	Gus Bock Ace Hardware	3455 Ridge Rd	Lansing	IL	60438	(708) 474-5940	41.5643	-87.5321
10359	Elberton Ace Hardware	886 Elbert St	Elberton	GA	30635	(706) 283-3054	34.1008	-82.8495
10361	Phil's Hardware	13 SW H St	Madras	OR	97741	(541) 475-9392	44.627737	-121.13004
